status_id,"Translated(src=en, dest=en, text=status_message, pronunciation=status_message)",link_name
405046796227418_1638429056222513,"Translated(src=en, dest=en, text=https://www.shropshirestar.com/news/uk-news/2017/11/26/sir-vince-cable-suggests-20-chance-of-brexit-not-happening/, pronunciation=https://www.shropshirestar.com/news/uk-news/2017/11/26/sir-vince-cable-suggests-20-chance-of-brexit-not-happening/)",POLL: Do you agree with Sir Vince Cable's suggestion that there is a ‘20% chance’ of Brexit not happening?
405046796227418_1638194486245970,"Translated(src=en, dest=en, text=BRITAIN should introduce one year “vindaloo visas” to save the nation’s #curry houses. 
If there was ever any doubt beforehand, the shortage of curry chefs is now a crisis.

https://www.thesun.co.uk/news/5013131/britain-should-introduce-one-year-vindaloo-visas-to-save-the-nations-curry-houses-sir-vince-cable-demands/, pronunciation=BRITAIN should introduce one year “vindaloo visas” to save the nation’s #curry houses. 
If there was ever any doubt beforehand, the shortage of curry chefs is now a crisis.

https://www.thesun.co.uk/news/5013131/britain-should-introduce-one-year-vindaloo-visas-to-save-the-nations-curry-houses-sir-vince-cable-demands/)","Britain should introduce chef visas to save curry houses, Vince Cable says"
405046796227418_1637222923009793,"Translated(src=en, dest=en, text=There is little doubt that systematic tax avoidance is causing significant damage to the British revenue position in the budget. Why on earth is the British government blocking sensible, practical attempts by the European Union to stop predatory behaviour by some of its member states?

https://www.theguardian.com/business/2017/nov/26/british-government-accused-of-being-soft-on-tax-avoidance, pronunciation=There is little doubt that systematic tax avoidance is causing significant damage to the British revenue position in the budget. Why on earth is the British government blocking sensible, practical attempts by the European Union to stop predatory behaviour by some of its member states?

https://www.theguardian.com/business/2017/nov/26/british-government-accused-of-being-soft-on-tax-avoidance)",British government accused of being soft on tax avoidance
405046796227418_1637053816360037,"Translated(src=en, dest=en, text=I think there's a good 20% at the moment that #Brexit won't happen. 

We may get to the middle of next year and find this is just a horrible mess and there will be a growing political mood in the country and in Parliament to find a way out. 

https://www.aol.co.uk/news/2017/11/26/sir-vince-cable-suggests-20-chance-of-brexit-not-happening/, pronunciation=I think there's a good 20% at the moment that #Brexit won't happen. 

We may get to the middle of next year and find this is just a horrible mess and there will be a growing political mood in the country and in Parliament to find a way out. 

https://www.aol.co.uk/news/2017/11/26/sir-vince-cable-suggests-20-chance-of-brexit-not-happening/)",Sir Vince Cable suggests '20% chance' of Brexit not happening
405046796227418_1636258533106232,"Translated(src=en, dest=en, text=#BREXIT: There is a distinct possibility that Brexit will be stopped.

Hear my thoughts from Sky News Sunday with Niall Paterson.

Join the Liberal Democrats today - the only party standing up for an #exitfrombrexit
www.libdems.org.uk/join, pronunciation=#BREXIT: There is a distinct possibility that Brexit will be stopped.

Hear my thoughts from Sky News Sunday with Niall Paterson.

Join the Liberal Democrats today - the only party standing up for an #exitfrombrexit
www.libdems.org.uk/join)",Sunday with Niall Paterson
405046796227418_1635598606505558,"Translated(src=en, dest=en, text=I worry that the government is actually feeding Carillion the contracts to keep them going.

It suggests there is the same problem that the banks have – that there are companies that are too big to fail. That shouldn’t be the case.

https://www.constructionnews.co.uk/companies/contractors/carillion/sir-vince-cable-government-feeding-carillion-contracts/10025540.article, pronunciation=I worry that the government is actually feeding Carillion the contracts to keep them going.

It suggests there is the same problem that the banks have – that there are companies that are too big to fail. That shouldn’t be the case.

https://www.constructionnews.co.uk/companies/contractors/carillion/sir-vince-cable-government-feeding-carillion-contracts/10025540.article)",Sir Vince Cable: Government 'feeding' Carillion contracts
405046796227418_1635378249860927,"Translated(src=en, dest=en, text=, pronunciation=)",Extra funding in Budget less than half what NHS needs
405046796227418_1634471276618291,"Translated(src=en, dest=en, text=This news underlines both a lack of business confidence and the failure of the government to prepare for a post-#Brexit future. Sadly, young people are paying the price. 

https://www.thetimes.co.uk/article/big-fall-in-apprentices-blamed-on-red-tape-and-higher-costs-lord-blunkett-vince-cable-bvxgnpdvz, pronunciation=This news underlines both a lack of business confidence and the failure of the government to prepare for a post-#Brexit future. Sadly, young people are paying the price. 

https://www.thetimes.co.uk/article/big-fall-in-apprentices-blamed-on-red-tape-and-higher-costs-lord-blunkett-vince-cable-bvxgnpdvz)",Big fall in apprentices blamed on red tape and higher costs
405046796227418_1634313516634067,"Translated(src=en, dest=en, text=Phew.. 

http://www.telegraph.co.uk/news/2017/11/23/vince-cable-spared-blushes-bad-sex-awards-judge-resists-calls/, pronunciation=Phew.. 

http://www.telegraph.co.uk/news/2017/11/23/vince-cable-spared-blushes-bad-sex-awards-judge-resists-calls/)",Vince Cable spared blushes at Bad Sex Awards as judge resists calls for him to be on the shortlist
405046796227418_1634312149967537,"Translated(src=en, dest=en, text=Pressing ahead with a sale of RBS at a major loss, without waiting for the share price to recover further, would be a very irresponsible thing to do. 

Even when George Osborne was privatising it, there was an agreement about what an acceptable price would be – there was no doubt about that. 

https://www.theguardian.com/politics/2017/nov/23/vince-cable-chancellor-irresponsible-for-selling-off-rbs, pronunciation=Pressing ahead with a sale of RBS at a major loss, without waiting for the share price to recover further, would be a very irresponsible thing to do. 

Even when George Osborne was privatising it, there was an agreement about what an acceptable price would be – there was no doubt about that. 

https://www.theguardian.com/politics/2017/nov/23/vince-cable-chancellor-irresponsible-for-selling-off-rbs)",Vince Cable: chancellor ‘irresponsible’ for selling off RBS
405046796227418_1633562223375863,"Translated(src=en, dest=en, text=It’s worrying that the shadow chancellor hasn’t done his sums. Or perhaps he has done his sums and he realises they’re so horrendous that he’s unwilling to acknowledge that his version of a Labour government would put the country into financial difficulties.

Read more at https://www.shropshirestar.com/news/uk-news/2017/11/23/john-mcdonnell-defends-labours-borrowing-plans-for-infrastructure/#McYgG7QToclZzhTX.99

https://www.shropshirestar.com/news/uk-news/2017/11/23/john-mcdonnell-defends-labours-borrowing-plans-for-infrastructure/, pronunciation=It’s worrying that the shadow chancellor hasn’t done his sums. Or perhaps he has done his sums and he realises they’re so horrendous that he’s unwilling to acknowledge that his version of a Labour government would put the country into financial difficulties.

Read more at https://www.shropshirestar.com/news/uk-news/2017/11/23/john-mcdonnell-defends-labours-borrowing-plans-for-infrastructure/#McYgG7QToclZzhTX.99

https://www.shropshirestar.com/news/uk-news/2017/11/23/john-mcdonnell-defends-labours-borrowing-plans-for-infrastructure/)",McDonnell under fire over costings for Labour infrastructure borrowing
405046796227418_1633537963378289,"Translated(src=en, dest=en, text=Essential we have a final vote on the Brexit facts in Spring 2019 before committing to economic suicide. 

http://www.independent.co.uk/news/uk/politics/uk-living-standards-fall-longest-60-years-records-began-economy-household-incomes-costs-energy-a8071146.html, pronunciation=Essential we have a final vote on the Brexit facts in Spring 2019 before committing to economic suicide. 

http://www.independent.co.uk/news/uk/politics/uk-living-standards-fall-longest-60-years-records-began-economy-household-incomes-costs-energy-a8071146.html)",Britain to suffer greatest fall in living standards for 60 years
405046796227418_1633457963386289,"Translated(src=en, dest=en, text=The Autumn Budget was highly constrained by Brexit negotiations. 

https://www.professionaladviser.com/professional-adviser/news/3021651/brexit-constrains-budget-treatment-of-long-term-policy-vince-cable, pronunciation=The Autumn Budget was highly constrained by Brexit negotiations. 

https://www.professionaladviser.com/professional-adviser/news/3021651/brexit-constrains-budget-treatment-of-long-term-policy-vince-cable)",Autumn Budget 'highly constrained' by Brexit negotiations - Vince Cable
405046796227418_1633456266719792,"Translated(src=en, dest=en, text=, pronunciation=)",7 budget failures
405046796227418_1632960493436036,"Translated(src=en, dest=en, text=Budget 2017: Tories’ Brexit position left the chancellor with little room to manoeuvre. 

https://www.thetimes.co.uk/article/budget-2017-tories-brexit-position-left-the-chancellor-with-little-room-to-manoeuvre-33xrn6vcv, pronunciation=Budget 2017: Tories’ Brexit position left the chancellor with little room to manoeuvre. 

https://www.thetimes.co.uk/article/budget-2017-tories-brexit-position-left-the-chancellor-with-little-room-to-manoeuvre-33xrn6vcv)",Budget 2017: Tories’ Brexit position left the chancellor with little room to manoeuvre
405046796227418_1632737340125018,"Translated(src=en, dest=en, text=The economy will be £45 billion smaller in 2021 than predicted as recently as March. And that is the least worst case scenario. Philip Hammond might as well have sat down and stopped talking once he announced this slump in growth figures. 

Britain has gone from top of the growth league to deep into the relegation zone, with each person set to be £687 worse off per year. The OBR has revised down future earnings, productivity and household consumption.The worst part is much of this damage is self-inflicted, with the hard Brexit this government is pursuing., pronunciation=The economy will be £45 billion smaller in 2021 than predicted as recently as March. And that is the least worst case scenario. Philip Hammond might as well have sat down and stopped talking once he announced this slump in growth figures. 

Britain has gone from top of the growth league to deep into the relegation zone, with each person set to be £687 worse off per year. The OBR has revised down future earnings, productivity and household consumption.The worst part is much of this damage is self-inflicted, with the hard Brexit this government is pursuing.)",Vince Cable: Budget sunk by growth bombshell
405046796227418_1632549743477111,"Translated(src=en, dest=en, text=https://www.theguardian.com/commentisfree/2015/nov/19/britain-lib-dem-autumn-statement-osborn-corbyn?CMP=share_btn_tw, pronunciation=https://www.theguardian.com/commentisfree/2015/nov/19/britain-lib-dem-autumn-statement-osborn-corbyn?CMP=share_btn_tw)",Britain’s got a Lib Dem-sized hole in its heart – and we’ll know it with the autumn statement | Edward Docx
405046796227418_1632514180147334,"Translated(src=en, dest=en, text=Urgent cash is needed for our ailing health service and those affected by corrosive benefit cuts. We have a plan which doesn’t rely on a magic money tree. 

https://www.theguardian.com/commentisfree/2017/nov/21/building-houses-saving-nhs-budget-benefits-liberal-democrats-vince-cable, pronunciation=Urgent cash is needed for our ailing health service and those affected by corrosive benefit cuts. We have a plan which doesn’t rely on a magic money tree. 

https://www.theguardian.com/commentisfree/2017/nov/21/building-houses-saving-nhs-budget-benefits-liberal-democrats-vince-cable)",Building houses and saving the NHS: how Lib Dems would tackle this budget | Vince Cable
405046796227418_1631660430232709,"Translated(src=en, dest=en, text=Davis’s suggestion the UK could keep the agencies showed just how little grasp the government has of the potential consequences of #Brexit.                                                            

This marks the beginning of the jobs #Brexodus. Large private sector organisations are also considering moving to Europe and we can expect many to do so over next few years. 

https://www.theguardian.com/politics/2017/nov/20/london-loses-european-medicines-agency-amsterdam-brexit-relocation, pronunciation=Davis’s suggestion the UK could keep the agencies showed just how little grasp the government has of the potential consequences of #Brexit.                                                            

This marks the beginning of the jobs #Brexodus. Large private sector organisations are also considering moving to Europe and we can expect many to do so over next few years. 

https://www.theguardian.com/politics/2017/nov/20/london-loses-european-medicines-agency-amsterdam-brexit-relocation)",London loses EU agencies to Paris and Amsterdam in Brexit relocation
405046796227418_1631650376900381,"Translated(src=en, dest=en, text=Over 5,000 UK businesses and billions of pounds of tax revenue rely on financial passporting to access EU markets... all of this could be avoided if the Government chose to stay in the single market.

https://www.standard.co.uk/news/world/europes-chief-brexit-negotiator-michel-barnier-kills-of-city-hopes-of-keeping-full-access-to-eu-a3696196.html, pronunciation=Over 5,000 UK businesses and billions of pounds of tax revenue rely on financial passporting to access EU markets... all of this could be avoided if the Government chose to stay in the single market.

https://www.standard.co.uk/news/world/europes-chief-brexit-negotiator-michel-barnier-kills-of-city-hopes-of-keeping-full-access-to-eu-a3696196.html)",Barnier kills off City hopes of keeping full access to EU markets
405046796227418_1631566690242083,"Translated(src=en, dest=en, text=Lucy Kellaway, former FT writer, became a maths teacher, aged 57, in a tough secondary school. An inspiring story, as well as a sobering one of the challenges of teaching in our current #education system. 

https://www.thetimes.co.uk/article/i-became-a-teacher-at-57-i-am-learning-the-hard-way-it-is-brutal-gl69n3lxc?shareToken=e3070902b3d4b25a928c5f3dea6b2023, pronunciation=Lucy Kellaway, former FT writer, became a maths teacher, aged 57, in a tough secondary school. An inspiring story, as well as a sobering one of the challenges of teaching in our current #education system. 

https://www.thetimes.co.uk/article/i-became-a-teacher-at-57-i-am-learning-the-hard-way-it-is-brutal-gl69n3lxc?shareToken=e3070902b3d4b25a928c5f3dea6b2023)","I became a teacher at 57. I am learning the hard way — it is brutal, says Lucy Kellaway"
405046796227418_1631557183576367,"Translated(src=en, dest=en, text=This comprehensive study finally nails the lie that the Brexit process has not damaged the economy, and with it the living standards of every British citizen.

The average household simply can’t afford to lose £404 a year at a time when many have not recovered from the financial crisis of almost a decade ago.

But it didn’t have to be this way: if the Conservative government had responded by guaranteeing that Britain would remain in the single market and customs union, the pound would not have fallen so sharply and inflation would not have risen.

That was not the fault of how people voted but how the Government responded to the vote, embarking on the most extreme and damaging version of Brexit.

http://www.theneweuropean.co.uk/top-stories/brexit-bites-housesholds-take-financial-pummelling-1-5286970, pronunciation=This comprehensive study finally nails the lie that the Brexit process has not damaged the economy, and with it the living standards of every British citizen.

The average household simply can’t afford to lose £404 a year at a time when many have not recovered from the financial crisis of almost a decade ago.

But it didn’t have to be this way: if the Conservative government had responded by guaranteeing that Britain would remain in the single market and customs union, the pound would not have fallen so sharply and inflation would not have risen.

That was not the fault of how people voted but how the Government responded to the vote, embarking on the most extreme and damaging version of Brexit.

http://www.theneweuropean.co.uk/top-stories/brexit-bites-housesholds-take-financial-pummelling-1-5286970)",Brexit bites: Housesholds take financial pummelling
405046796227418_1631178283614257,"Translated(src=en, dest=en, text=Loss of financial passporting risks blowing a hole in the budget at a time when our public services are already seriously underfunded. All this could be avoided if the government chose to stay in the #singlemarket. 

www.independent.co.uk/news/uk/politics/brexit-passporting-rights-banks-financial-services-michel-barnier-speech-talks-david-davis-a8064836.html, pronunciation=Loss of financial passporting risks blowing a hole in the budget at a time when our public services are already seriously underfunded. All this could be avoided if the government chose to stay in the #singlemarket. 

www.independent.co.uk/news/uk/politics/brexit-passporting-rights-banks-financial-services-michel-barnier-speech-talks-david-davis-a8064836.html)",British banks 'will lose access to the EU' after Brexit
405046796227418_1631063406959078,"Translated(src=en, dest=en, text=On Trans Day of Remembrance, we mark the people who have been killed for being trans in the past year. We have sadly seen another record rise. The Liberal Democrats have always supported trans people, and are calling for better protections in law and more access to services - especially for young trans people., pronunciation=On Trans Day of Remembrance, we mark the people who have been killed for being trans in the past year. We have sadly seen another record rise. The Liberal Democrats have always supported trans people, and are calling for better protections in law and more access to services - especially for young trans people.)",Vince Cable Trans Day of Remembrance message
405046796227418_1630579580340794,"Translated(src=en, dest=en, text=Did Vladimir #Putin buy #Brexit?

https://infacts.org/putin-buy-brexit/, pronunciation=Did Vladimir #Putin buy #Brexit?

https://infacts.org/putin-buy-brexit/)",Did Putin buy Brexit?
405046796227418_1630145687050850,"Translated(src=en, dest=en, text=Great to visit Cumbria to talk with businesses here. Kendal is a delightful place and I'm really impressed by the cultural life, the festivals, the set-up of the volunteering sector and the real variety of the shops.

There are a lot of things you don't often see in middle-sized towns, and there are many creative industries and a very high quality hospitality sector.

http://www.thewestmorlandgazette.co.uk/news/15664864.Business___Brexit__Leader_of_Lib_Dem_party_comes_to_Kendal/, pronunciation=Great to visit Cumbria to talk with businesses here. Kendal is a delightful place and I'm really impressed by the cultural life, the festivals, the set-up of the volunteering sector and the real variety of the shops.

There are a lot of things you don't often see in middle-sized towns, and there are many creative industries and a very high quality hospitality sector.

http://www.thewestmorlandgazette.co.uk/news/15664864.Business___Brexit__Leader_of_Lib_Dem_party_comes_to_Kendal/)",Business & Brexit: Leader of Lib Dem party comes to Kendal
405046796227418_1629689187096500,"Translated(src=en, dest=en, text=This shocking omission by the Government has terrible implications. Animal sentience ie that animals feel pain and emotions, is well established by science. Its intentional omission from the Repeal Bill opens the door to the return of the most brutal forms of factory farming in the UK, which have long been outlawed in the EU. 

https://www.thelondoneconomic.com/news/government-votes-animals-cant-feel-pain-emotions/17/11/, pronunciation=This shocking omission by the Government has terrible implications. Animal sentience ie that animals feel pain and emotions, is well established by science. Its intentional omission from the Repeal Bill opens the door to the return of the most brutal forms of factory farming in the UK, which have long been outlawed in the EU. 

https://www.thelondoneconomic.com/news/government-votes-animals-cant-feel-pain-emotions/17/11/)","Government votes that ""animals can’t feel pain or emotions"""
405046796227418_1629061997159219,"Translated(src=en, dest=en, text=Great result. 

https://www.cumbriacrack.com/2017/11/17/penrith-north-ward-election-results/, pronunciation=Great result. 

https://www.cumbriacrack.com/2017/11/17/penrith-north-ward-election-results/)",Penrith north ward by-election results
405046796227418_1629040547161364,"Translated(src=en, dest=en, text=No #customsunion means a serious blow to all industrial supply chains. 

https://www.japantimes.co.jp/news/2017/11/15/business/honda-carmakers-warn-semi-catastrophic-u-k-output-halts-brexit-causes-eu-car-certificate-limbo/#.WhBR3J-nzqA, pronunciation=No #customsunion means a serious blow to all industrial supply chains. 

https://www.japantimes.co.jp/news/2017/11/15/business/honda-carmakers-warn-semi-catastrophic-u-k-output-halts-brexit-causes-eu-car-certificate-limbo/#.WhBR3J-nzqA)",Honda and other carmakers warn of 'semi-catastrophic' U.K. output halts after Brexit | The Japan Times
405046796227418_1628759490522803,"Translated(src=en, dest=en, text=Why I turned down an invite to lead a new pro-Remain party:, pronunciation=Why I turned down an invite to lead a new pro-Remain party:)",Vince Cable turned down invite to lead a new political party
405046796227418_1627830163949069,"Translated(src=en, dest=en, text=Worth hearing this from the man himself., pronunciation=Worth hearing this from the man himself.)",Open Britain
405046796227418_1627463023985783,"Translated(src=en, dest=en, text=, pronunciation=)",Liberal Democrats
405046796227418_1627121384019947,"Translated(src=en, dest=en, text=My proposal in City AM to make London the world capital of Green Finance. 

http://www.cityam.com/275733/lets-make-london-green-finance-capital-world, pronunciation=My proposal in City AM to make London the world capital of Green Finance. 

http://www.cityam.com/275733/lets-make-london-green-finance-capital-world)",Let’s make London the green finance capital of the world
405046796227418_1627027800695972,"Translated(src=en, dest=en, text=We've made considerable steps forward with getting more women into Parliament (for example, all-women short lists) and tackling things like shared parental leave. But it's mainly deeper, cultural thing that are currently blocking the aspirations of a lot of women and we need to work harder at conquering those. 

http://www.mirror.co.uk/news/politics/we-need-more-rubbish-women-11527401, pronunciation=We've made considerable steps forward with getting more women into Parliament (for example, all-women short lists) and tackling things like shared parental leave. But it's mainly deeper, cultural thing that are currently blocking the aspirations of a lot of women and we need to work harder at conquering those. 

http://www.mirror.co.uk/news/politics/we-need-more-rubbish-women-11527401)",'We need more rubbish women in Parliament' says Labour frontbencher
405046796227418_1626633420735410,"Translated(src=en, dest=en, text=https://m.facebook.com/story.php?story_fbid=10159586310780026&id=597270025, pronunciation=https://m.facebook.com/story.php?story_fbid=10159586310780026&id=597270025)",Vince Cable sets out plan to make London global capital of green finance
405046796227418_1626507577414661,"Translated(src=en, dest=en, text=I was asked to lead a new pro-Remain party. Here's why I said no: 

https://leftfootforward.org/2017/11/vince-cable-i-was-asked-to-lead-a-new-pro-remain-party-heres-why-i-said-no/, pronunciation=I was asked to lead a new pro-Remain party. Here's why I said no: 

https://leftfootforward.org/2017/11/vince-cable-i-was-asked-to-lead-a-new-pro-remain-party-heres-why-i-said-no/)",Vince Cable: I was asked to lead a new pro-Remain party. Here’s why I said no
405046796227418_1626138640784888,"Translated(src=en, dest=en, text=The  odds of abandoning Brexit stand at maybe 20 per cent, possibly 25 per cent. 

The probabilities of having an exit from Brexit are rising because of the chronic weakness of the Government – the lack of ability to negotiate a satisfactory deal . We will almost certainly be faced with a poor deal, maybe no deal at all, and I think under those circumstances, with large numbers of initially MPs and then the public, wanting to revisit the basic question will rise.

http://www.independent.co.uk/voices/brexit-reverse-vote-eu-withdrawal-act-stop-remain-parliament-commons-a8054461.html, pronunciation=The  odds of abandoning Brexit stand at maybe 20 per cent, possibly 25 per cent. 

The probabilities of having an exit from Brexit are rising because of the chronic weakness of the Government – the lack of ability to negotiate a satisfactory deal . We will almost certainly be faced with a poor deal, maybe no deal at all, and I think under those circumstances, with large numbers of initially MPs and then the public, wanting to revisit the basic question will rise.

http://www.independent.co.uk/voices/brexit-reverse-vote-eu-withdrawal-act-stop-remain-parliament-commons-a8054461.html)",It's possible Parliament just quietly started the process of a Brexit reversal
405046796227418_1626050724127013,"Translated(src=en, dest=en, text=The City has an interest in attracting good business. It is going to take a hit from Brexit and that business has to be made up in another way.

If I can be a little controversial there are two ways you can do it. One is moving up into areas like green finance, where you have more sophisticated products and greater transparency around companies - which is what I recommend. Or you can try and attract the business of state owned oil companies from Saudi Arabia - which certain other people are trying to do. 

https://www.businessgreen.com/bg/news/3021046/vince-cable-sets-out-plan-to-make-london-global-capital-of-green-finance, pronunciation=The City has an interest in attracting good business. It is going to take a hit from Brexit and that business has to be made up in another way.

If I can be a little controversial there are two ways you can do it. One is moving up into areas like green finance, where you have more sophisticated products and greater transparency around companies - which is what I recommend. Or you can try and attract the business of state owned oil companies from Saudi Arabia - which certain other people are trying to do. 

https://www.businessgreen.com/bg/news/3021046/vince-cable-sets-out-plan-to-make-london-global-capital-of-green-finance)",Vince Cable sets out plan to make London global capital of green finance
405046796227418_1625607374171348,"Translated(src=en, dest=en, text=Households are being hit with a relentless Brexit squeeze as food prices rise at the  fastest rate in 4 years. A reminder to MPs debating Withdrawal Bill today that people's living standards are at stake.

http://www.mirror.co.uk/news/politics/brexit-withdrawal-bill-debate-live-11519257, pronunciation=Households are being hit with a relentless Brexit squeeze as food prices rise at the  fastest rate in 4 years. A reminder to MPs debating Withdrawal Bill today that people's living standards are at stake.

http://www.mirror.co.uk/news/politics/brexit-withdrawal-bill-debate-live-11519257)",Latest video and updates as MPs debate Brexit Withdrawal bill
405046796227418_1625260407539378,"Translated(src=en, dest=en, text=Most businesses are nervous about the Government’s pursuit of a #hardBrexit. Any transitional deal needs to maintain the status quo so as to provide the certainty that business needs. The #PrimeMinister must push for a deal that keeps us within the Customs Union and Single Market. Even then it is difficult to see how this could be any better than our current circumstances, which is why the British people should be given a vote on any deal.

http://www.mirror.co.uk/news/politics/no-deal-would-cause-constitutional-11512940, pronunciation=Most businesses are nervous about the Government’s pursuit of a #hardBrexit. Any transitional deal needs to maintain the status quo so as to provide the certainty that business needs. The #PrimeMinister must push for a deal that keeps us within the Customs Union and Single Market. Even then it is difficult to see how this could be any better than our current circumstances, which is why the British people should be given a vote on any deal.

http://www.mirror.co.uk/news/politics/no-deal-would-cause-constitutional-11512940)",No deal would bring down the government warns shadow Brexit secretary
405046796227418_1625219257543493,"Translated(src=en, dest=en, text=, pronunciation=)",Liberal Democrats
405046796227418_1624739674258118,"Translated(src=en, dest=en, text=Looking forward to the Sussex Economic Forum 2017 conference and discussing the key drivers for business. 

http://www.theargus.co.uk/news/15657172.Countdown_to_the_Sussex_Economic_Forum_2017/, pronunciation=Looking forward to the Sussex Economic Forum 2017 conference and discussing the key drivers for business. 

http://www.theargus.co.uk/news/15657172.Countdown_to_the_Sussex_Economic_Forum_2017/)",Countdown to the Sussex Economic Forum 2017
405046796227418_1624055637659855,"Translated(src=en, dest=en, text=Thank you Lord Kerr. 

https://www.newstatesman.com/politics/brexit/2017/11/i-wrote-article-50-and-i-know-government-can-reverse-brexit-if-it-wants, pronunciation=Thank you Lord Kerr. 

https://www.newstatesman.com/politics/brexit/2017/11/i-wrote-article-50-and-i-know-government-can-reverse-brexit-if-it-wants)",I wrote Article 50 – and I know this government can reverse Brexit if it wants to
